year,gdp_usd_bn,gdp_inr_lakh_cr,note
2003,607,,IMF WEO nominal GDP CY
2004,709,,IMF WEO
2005,820,,IMF WEO
2006,940,,IMF WEO
2007,1217,,IMF WEO
2008,1199,,IMF WEO
2009,1342,,IMF WEO
2010,1676,,IMF WEO
2011,1823,,IMF WEO
2012,1828,,IMF WEO
2013,1857,,IMF WEO
2014,2040,,DataSheet (user workbook)
2015,2100,,DataSheet
2016,2294.8,,DataSheet
2017,2651.47,,DataSheet
2018,2702.93,,DataSheet
2019,2835.61,,DataSheet
2020,2674.85,,DataSheet
2021,3167.27,,DataSheet
2022,3346.11,,DataSheet
2023,3638.49,,DataSheet
2024,3912.69,,DataSheet
2025,4190,,IMF estimate - PLEASE VERIFY
2026,4530,,IMF projection - PLEASE VERIFY
